id,date,operator,number,score
d84823c1-1d67-45ca-8b75-6b29e4f330a1,2018-02-20,EE,+44-3642-728615,0.0
38318f7c-ecc2-4ea8-a7c9-e0e3f4f302a5,2018-02-26,EE,+44-3382-606822,0.7
bd5ff5e6-bdf1-495e-a768-d3b6da2a0301,2018-04-12,Bouygues Telecom,+44-2438-281312,0.9
8085f26e-0116-4f55-97e5-a662da92b206,2018-06-06,Bouygues Telecom,+44-2427-338744,1.0
486d43a6-5053-42cb-a200-ad3f32704b95,2018-06-16,Bouygues Telecom,+44-2289-428277,0.2
5ce23bd9-4410-46f3-8c7f-66e31c7e73f7,2018-06-22,Monaco Telecom,+44-9770-680803,0.1
6c3aea5d-9174-4815-ad02-2fbe514c6d96,2018-06-29,O2,+44-4589-055670,1.0
cd504f48-0a12-43c5-b7de-f914143755a4,2018-07-24,Bouygues Telecom,+44-2558-726564,1.0
60c87c11-67c9-4072-abc1-ec2d8da6196a,2018-09-08,EE,+44-3407-017143,0.0
9b88f96a-935f-48c8-9e0d-49fe29ba3a6b,2018-09-24,Monaco Telecom,+44-9255-870699,1.0
b3acfd3d-d247-47eb-8eee-e6a9731b9b95,2019-01-10,Vodafone,+44-1442-205681,1.0
0931e785-78d7-4c74-a863-1c57d25bf0a2,2019-01-10,EE,+44-3417-891162,0.0
5abc101e-22f8-4652-9dab-6e53c0812569,2019-01-13,Vodafone,+44-1737-716927,0.7
68f443f5-e138-43d8-9596-1de0fbb7a33f,2019-03-06,Vodafone,+44-1861-156730,0.8
4ba43a6c-293b-409c-8078-fd913a63b8d1,2019-03-24,Orange,+44-8572-637063,0.1
c63274a0-fa50-4335-bb0b-78cb1f54bce9,2019-04-16,O2,+44-4391-901938,1.0
f17878dd-a1cf-403d-835a-d0cc9bdc2a7d,2019-04-30,O2,+44-4261-670826,0.6
cae65061-58d8-40bc-b0b8-c50f2027bea6,2019-06-12,Three,+44-5057-533505,0.8
b212c8fe-e122-450e-93ef-fd7a096bb6ff,2019-07-09,Orange,+44-8387-487022,0.7
cfc835a5-e131-4fd9-97a0-780f192b1382,2019-07-09,Orange,+44-8914-835461,0.0
94647b25-c55f-40b1-a656-4c56e4874912,2019-07-13,Three,+44-5551-567308,0.0
e32a68b5-cb88-42d1-af78-067b04aa62e4,2019-08-06,O2,+44-4491-731036,0.7
cbd5cffe-8b14-4709-bbcf-a56a99e78d73,2019-08-09,Monaco Telecom,+44-9704-636793,0.3
1e0e67a2-155f-4c6d-b100-472fce159e42,2019-08-14,EE,+44-3461-039178,1.0
3b11f703-4c64-4c6d-8e55-4ae3b24d4492,2019-09-06,Three,+44-5884-899774,0.4
971e0977-4036-40a2-88d2-d7e3f2cde4c7,2019-10-31,EE,+44-3739-314109,0.4
c1e896b4-1b22-4762-ba19-89d9d42107b8,2019-11-18,Swisscom,+44-7242-956789,0.0
07ea578d-4fc6-4387-8508-a8d69f73b9c4,2020-03-08,O2,+44-4899-808834,0.7
7f4916c5-b976-4817-b393-99f81d9a47ea,2020-03-12,O2,+44-4924-746499,0.2
31b19f16-111e-4dd8-bc0e-7a3ca23b4a77,2020-04-10,Monaco Telecom,+44-9463-979241,0.8
74984f74-03d6-4cf2-9d98-bd20aed799e8,2020-04-18,Monaco Telecom,+44-9771-271113,0.0
3c5355da-48f7-41a4-9444-1ce022de2042,2020-05-18,Monaco Telecom,+44-9180-291091,0.0
1e0cb1a3-5372-4aa6-97ef-b15105bfff60,2020-06-01,O2,+44-4923-076174,0.0
1afeb6ed-1dfc-4782-bc7c-1e7ae4cdeb39,2020-08-19,O2,+44-4575-606054,0.0
ff9a50a1-62c8-4313-8481-cafe1608e81c,2020-08-23,Bouygues Telecom,+44-2121-131999,0.7
5820a0f8-e13a-4318-909d-fe6db4a50182,2020-08-27,Bouygues Telecom,+44-2118-867243,0.2
182c06da-131f-47cd-9cb6-b9b22bf0e537,2020-09-05,Vodafone,+44-1497-791713,0.8
8a32bf9b-8935-4425-a160-153f686031cb,2020-09-05,Monaco Telecom,+44-9305-554721,0.3
c7e0e4da-8a2b-4f71-89ac-fd9554e14e19,2020-09-17,EE,+44-3811-434300,1.0
